_id,cdliNumber,bmIdNumber,accession,genre,fincke,publicationPlace,joins,subcollection,description,length,width,thickness,collection,script,date,folio,register,transliteration,notes
"K.2","P357078","314999","","","","","","","Clay tablet, mythological, Neo-Assyrian.","5,4 (complete)","3,9 (complete)","1,5 (complete)","Kuyunjik","","","WGL 09893","","",""
"K.104","P393754","314841","","","","","","","Part of a clay tablet, 2 pieces, 2 columns of inscription, a bilingual explanatory list, containing on obverse and on reverse, lines 1-12, the various namesandepithets (?) ofthe months; and on reverse, line 13 ff., titles of the god Nabu and also some further explanations of the ideograph of his name, Neo-Assyrian.","19,4 (incomplete (includes all joins))","8 (complete (includes all joins))","2,7 (complete (includes all joins))","Kuyunjik","","","WGL 10108","","",""
"K.1108","P335727","313577","","","","ADD 0886","","","Lower part of a clay tablet, legal, 5 lines of inscription, the upper part of obverve and the lower part of reverse are wanting, and the beginnings of the lines are mutilated throughout, the reverse seems to have contained a date, list of names, probably to be connected with some contributions, Neo-Assyrian.","4,1 (incomplete)","3,3 (complete)","2 (incomplete)","Kuyunjik","","","WGL 09384","","",""
"K.1137","P313578","313527","","","","CT 53, 163","","","Lower part of a clay tablet, part of 8 lines of inscription, apparently containing the remains of a letter, or report, concerning, perhaps, some religious ceremonies, Neo-Assyrian.","3,7 (incomplete)","3,6 (incomplete)","1,9 (incomplete)","Kuyunjik","","","WGL 09490","","",""
"K.1354","P336796","312384","","","","SAAB 01, 40","","","Clay tablet, 40 lines of inscription, the left hand bottom corner of obverse, with the corresponding part of reverse, is slightly mutilated, a list of temples, containing their names, and, in addition to them, an epithet, or the names of the gods, to whom they are dedicated, Neo-Assyrian.","9,7 (complete)","5,6 (complete)","2,2 (complete)","Kuyunjik","","","WGL 09868-69","","",""
"K.1363","P393887","312375","","","","","K.10239","","Part of a clay tablet, 30 lines of inscription, the ends of the lines are mutilated throughout, incantation, lines 6-12 of reverse form a colophon, in which the text is said to be a copy of an original from Niffer, Neo-Assyrian.","10,8 (complete)","6 (complete)","2,2 (complete)","Kuyunjik","","","WGL 09661","","",""
"K.1870","P357081","311807","","","","","","","Part of a clay tablet, 19 lines of inscription, the lower part of obverse and the upper part of reverse are wanting, part of an astrological text, chiefly written in ideographs, reverse, lines 3-4, which are separated from the preceding text by some space, contain a colophon, Neo-Assyrian.","5,2 (incomplete)","4,4 (complete)","1,8 (complete)","Kuyunjik","","","WGL 09678","","",""
"K.2013","P394137","311663","","","","","","","Part of a clay tablet, 6 + 16 lines of inscription, perhaps part of an omen-text, Neo-Assyrian.","8 (incomplete)","4,7 (incomplete)","2,7 (complete)","Kuyunjik","","","WGL 09779","","",""
"K.2021.A","P394142","311653","","","","","DT.14 + K.4357","","Part of a clay tablet, 2 columns of inscription on either side, part of a copy of an explanatory list, glosses being added by the scribe, Neo-Assyrian.","7,6","7,6","","Kuyunjik","","","WGL 09782","","",""
"K.2056","P394161","311590","","","","","","","Part of a clay tablet,the beginning of obverse and the end of reverse are wanting, and the right half of the tablet is broken off, 3 pieces, 3 + 2 columns of inscription, parts of a bilingual explanatory list, glosses being added by the scribe, Neo-Assyrian.","14,8 (incomplete)","7,5 (incomplete)","3,1 (complete)","Kuyunjik","","","WGL 09793","","",""
